zip,city,state,trash
02338,Halifax,MA,0410999
02339,Hanover,MA,0420128
02341,Hanson,MA,04200594
02343,Holbrook,MA,042014
02344,Middleboro,MA,0410
02345,Manomet,MA,0410888
02346,Middleboro,MA,0410
02347,Lakeville,MA,04108
02348,Middleboro,MA,0410
02349,Middleboro,MA,0410
02350,Monponsett,MA,0420
02351,Abington,MA,042011
02355,North Carver,MA,04
02356,North Easton,MA,04
02357,North Easton,MA,04
02358,North Pembroke,MA,0
02359,Pembroke,MA,042006
02360,Plymouth,MA,041089
02361,Plymouth,MA,041097
02362,Plymouth,MA,041097
02363,Plymouth,MA,041095
02364,Kingston,MA,041099
02366,South Carver,MA,04
02367,Plympton,MA,041096
02368,Randolph,MA,042017
02369,Dennis Port,MA,041
02370,Rockland,MA,042012
02375,South Easton,MA,04
02379,West Bridgewater,MA,0
02381,White Horse Beach,MA,0
02382,Whitman,MA,0420082
02401,Brockton,MA,042007
02402,Brockton,MA,042008
02403,Brockton,MA,041097
02404,Brockton,MA,041097
02405,Brockton,MA,041097
02407,Scituate,MA,042013
02420,Lexington,MA,04204
02421,Lexington,MA,04204
02445,Brookline,MA,04203
02446,Brookline,MA,04203
02447,Brookline Village,MA,0
02451,Waltham,MA,0420393
02452,Waltham,MA,0420392
02453,Waltham,MA,0420370
02454,Waltham,MA,0420356
02456,New Town,MA,042044
02457,Babson Park,MA,042
02458,Newton,MA,04203547
02459,Newton Center,MA,0
02460,Newtonville,MA,042
02461,Newton Highlands,MA,0
02462,Newton Lower Falls,MA,0
02464,Newton Upper Falls,MA,0
02465,West Newton,MA,042
02466,Auburndale,MA,0420
02467,Chestnut Hill,MA,0
02468,Waban,MA,042032524
02471,Watertown,MA,04204
02472,Watertown,MA,04203
02474,Arlington,MA,04204
02475,Arlington Heights,MA,0
02476,Arlington,MA,04204
02477,Watertown,MA,04204
02478,Belmont,MA,0420391
02479,Waverley,MA,042044
02481,Wellesley Hills,MA,0
02482,Wellesley,MA,04203
02492,Needham,MA,0420278
02493,Weston,MA,04203586
02494,Needham,MA,0420298
02495,Nonantum,MA,042044
02532,Buzzards Bay,MA,04
02534,Cataumet,MA,041066
02535,Chilmark,MA,041034
02536,East Falmouth,MA,0
02537,East Sandwich,MA,0
02538,East Wareham,MA,04
02539,Edgartown,MA,04103
02540,Falmouth,MA,041056
02541,Falmouth,MA,041079
02542,Buzzards Bay,MA,04
02543,Woods Hole,MA,0410
02549,Mashpee,MA,0410621
02551,Oak Bluffs,MA,0410
02552,MenemshA,0MA,041037
02553,Monument Beach,MA,0
02554,Nantucket,MA,04102
02556,North Falmouth,MA,0
02557,Oak Bluffs,MA,0410
02558,Onset,MA,041074642
02559,Pocasset,MA,041069
02561,Sagamore,MA,041077
02562,Sagamore Beach,MA,0
02563,Sandwich,MA,041073
02564,Siasconset,MA,0410
02565,Silver Beach,MA,04
02567,Sagamore,MA,041079
02568,Vineyard Haven,MA,0
02571,Wareham,MA,0410751
02573,Vineyard Haven,MA,0
02574,West Falmouth,MA,0
02575,West Tisbury,MA,04
02576,West Wareham,MA,04
02584,Nantucket,MA,04102
02595,West Tisbury,MA,04
02601,Hyannis,MA,0410654
02625,Barnstable Town,MA,0
02630,Barnstable,MA,0410
02631,Brewster,MA,041074
02632,Centerville,MA,041
02633,Chatham,MA,0410686
02634,Centerville,MA,041
02635,Cotuit,MA,04106250
02636,Centerville,MA,041
02637,Cummaquid,MA,04107
02638,Dennis,MA,04107366
02639,Dennis Port,MA,041
02641,East Dennis,MA,041
02642,Eastham,MA,0410844
02643,East Orleans,MA,04
02644,Forestdale,MA,0410
02645,Harwich,MA,0410707
02646,Harwich Port,MA,04
02647,Hyannis Port,MA,04
02648,Marstons Mills,MA,0
02649,Mashpee,MA,0410613
02650,North Chatham,MA,0
02651,North Eastham,MA,0
02652,North Truro,MA,042
02653,Orleans,MA,0410777
02654,Nantucket,MA,04105
02655,Osterville,MA,0410
02657,Provincetown,MA,04
02659,South Chatham,MA,0
02660,South Dennis,MA,04
02661,South Harwich,MA,0
02662,South Orleans,MA,0
02663,South Wellfleet,MA
02664,South Yarmouth,MA,0
02666,Truro,MA,041099280
02667,Wellfleet,MA,04109
02668,West Barnstable,MA
02669,West Chatham,MA,04
02670,West Dennis,MA,041
02671,West Harwich,MA,04
02672,West Hyannisport,MA
02673,West Yarmouth,MA,0
02675,Yarmouth Port,MA,0
02702,Assonet,MA,0410792
02703,Attleboro,MA,04109
02712,Chartley,MA,041075
02713,Cuttyhunk,MA,04104
02714,Dartmouth,MA,04107
02715,Dighton,MA,0410811
02717,East Freetown,MA,0
02718,East Taunton,MA,04
02719,Fairhaven,MA,04106
02720,Fall River,MA,0410
02721,Fall River,MA,0410
02722,Fall River,MA,0410
02723,Fall River,MA,0410
02724,Fall River,MA,0410
02725,Somerset,MA,041072
02726,Somerset,MA,041075
02735,Easton,MA,04109993
02738,Marion,MA,04107065
02739,Mattapoisett,MA,04
02740,New Bedford,MA,041
02741,New Bedford,MA,041
02742,New Bedford,MA,041
02743,Acushnet,MA,041069
02744,New Bedford,MA,041
02745,New Bedford,MA,041
02746,New Bedford,MA,041
02747,North Dartmouth,MA,0
02748,South Dartmouth,MA,0
02760,North Attleboro,MA,0
02761,North Attleboro,MA,0
02762,Plainville,MA,0420
02763,Attleboro Falls,MA,0
02764,North Dighton,MA,0
02766,Norton,MA,04109691
02767,Raynham,MA,0410934
02768,Raynham Center,MA,0
02769,Rehoboth,MA,041083
02770,Rochester,MA,04107
02771,Seekonk,MA,0410843
02777,SwanseA,0MA,0410741
02779,Berkley,MA,0410825
02780,Taunton,MA,0410904
02781,Westport,MA,041052
02783,Taunton,MA,0410756
02790,Westport,MA,041060
02791,Westport Point,MA,0
05501,Andover,MA,0420647
05544,Andover,MA,0420647
